college_id,college_name,review_title,overall_rating,review_text,posted_info,source,page_number
1,"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai",The Life at the most prestigious Instititute (IIT BOMBAY),4.1,"Pros/Cons: The students team here in IIT BOMBAY is very good.  The seniors are ready to help in anything you want. The campus is also peaceful and filled with greenary. You wouuld definitely enjoy the place here. The infrastucture is pretty good but not that good. The lecture halls are far from the hostel so it will take atleast 30 mins to walk. The professors even though are good at the subject they lack the ability to explain it clearly. The classes are really huge, which makes the class always distractive. | Placement Experience: The placements in IIT bombay are one of the best in the whole country due to it's high packages, But recently many students are doing MTech and MBA from foreign rather than going for direct jobs . Some are also going for starting businesses.","Reviewed on Sep 9, 2025",CollegeDunia,1
1,"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai",HONEST AND REFLECTIVE,4.3Helpful,"Pros/Cons: professor are knowlegeable and supportive with strong academic and research background. campus is vibrant with diverse clubs, fests and engaging peer interaction. infrastructure is excellent with beautiful hostels, labs and classrooms. The girls to boys ratio is low and especially in core branches. core placements are limited for some interdisciplinary departments. The academic workload is high especailly during exams. | Placement Experience: Placement begins with 7th semester in our college.Top companies like microsoft, google and TATA etc visit our campus for campus placement. highest goes into crores and the average is around 21 to 25 LPA in on campus placement. In my case I choose to persuie higher education rather than going for placement just after my Btech completion","Reviewed on Jul 19, 2025",CollegeDunia,1
1,"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai",All aspect of IITB sumarised,4.8Helpful,"Pros/Cons: So many events, no only fests but competions are also held weekly for many things. Each competetion teches you something new. The curriculum and research opportunties are outstanding. Tech teams, gives you hands on experience and also you if you have any innovative idea yoyu can try it out. Girls to boys ratio is 1 to 4. Could have been better Some games like free fire or pubg does not run on the wifi. You need a VPN to run such games. Some time mess food is not tasty but you still have canteen. | Placement Experience: Campus placement is offered. In Fact most student opt for campus placement only. You can apply for off campus placement as well. The reputation of college is such that it helps in placement a lot. Students are eligible for campus placement after the 7th semester. I am planning to do MS in aerospace from a reputed foriegn university.","Reviewed on Mar 13, 2025",CollegeDunia,1
1,"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai",IIT Bombay insider view,4.4Helpful,Pros/Cons: This is the top most IIT which provides placement approx 23 lpa. Asia's biggest cultural event is organised by our college. This is in Mumbai so various fields are open. Far from home and whether is very humid and Harsh. Since Mumbai is a very expensive place so it is bad for students. Hostel closing time is 10:00 p.m. which I personally don't like. | Placement Experience: Our college placement is till now the best in India where computer science branch is having a average package of 30 lacs and core branches get 19lpa. Companies like Google Microsoft Accenture Oracle visit our campus. Almost average student gets place here,"Reviewed on Mar 10, 2025",CollegeDunia,1
1,"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai",Life at IIT Bombay : In and Out,3.6Helpful,"Pros/Cons: The boys to girls ratio is now 4:1 which which is a significant improvement from the past The infrastructure is world class and constant improvements keep taking place continuously. There are various student and faculty mentorship programs, to ensure that the mental and physical health of the students is taken care of. The hostel culture in girls hostels is pretty less. The involment and engagement and bonding of boys hostel has improved. The course curriculum is too rigourous, and needs a lot of effort for outstanding results. The salaries data that comes out is not 100 percent true, 1/2 people get these super high packages and rest are average and a bit above. | Placement Experience: Semester 7 is when the placement season starts, and sem 5 onwards you can appear for internship season. The highest package goes in crores but mostly in cse department, others not IT jobs have reletively lower packages avarage being 20 LPA. Almost 60 percent and above students get placed in my guess. I am planning to work in a chemical process design firm.","Reviewed on Feb 22, 2025",CollegeDunia,1
1,"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai",Bhargava's magic,4.4Helpful,"Pros/Cons: The amount of resources iit bombay provides is awesome. The professors clarity over the subject they teach and their intuitive explanation skills are good. The clubs and tech teams provide deep domain knowledge and keep us constantly active in some or the other events. The hostel services can be improved and also the mess food . There can be more interactive sessions so that the students are able to know each other. The transport facilities in the college can be improved. | Placement Experience: The campus placements at iit Bombay are good , we can apply for any company irrespective of our branch
Students are eligible for placements from the 7th semester onwards 
There are no companies that visited iit bombay but did not offer
The highest package ever recorded was around 4.5cr, it was in Fintech ( developing algorithms)
75-80 percent of the students get placed every year
My plan is to sit for placements in the companies iam interested in after my degree","Reviewed on Feb 19, 2025",CollegeDunia,1
1,"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai",Everything is best in iit bombay,4.6Helpful,"Pros/Cons: Mess food:- different types of food provided, even we have snacks in evening Hostel room:- rooms are larger then average room, contains table and chair also Medical facilities:- you can use medical facilities free of cost. Transport:- sometimes we not able to get perfect Transport for travelling to nearest station Internet problem:- sometimes full internet got shut down Cleaning problem:- sometimes workers not able to keep hygiene properly | Course Curriculum Overview: Ya this cousre can have good scope ha future because aerospace have so much scope in industry. Courses are well aligned to our best development towards this field. Frequency and timings are well enough difficultly level is intermediate. Improvement can be that more real life problems can be solved.","Reviewed on Feb 16, 2025",CollegeDunia,1
1,"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai",IIT Bombay,5.0Helpful,"Pros/Cons: Got a really good infrastructure and facilities for academic activities The sporting facilities available are top notch Most of the professors are the best in their field and consultants for reputed organizations | Placement Experience: The college has a placement cell which tried to being the best companies and offers to our students each year. We get internship opportunities in our 3rd year and main placement in 4th year(mainly at the end of 7th sem). Most of the big tech companies(microsoft, google, amazon), consulting companies(McKinsey, BCG) to a name a few comes to our college each year. Around 75% students were placed last year(some choosing higher studies instead). The highest package last year was 3.61 crores and the average was around 22 lakh","Reviewed on Feb 1, 2025",CollegeDunia,1
1,"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai",For the one who are looking for affordable and quality this is the best,4.6,"Pros/Cons: It is very affordable and not much formalities or any limitations and all as you know its a technical based collage The person who running the collage is very kind and trying to help everyone he can I personally very crazy about his behave i never see he making any issues regarding the late fees with any one this is the most important I have nothing much to say about negatives, still the size of the class rooms and all should be little more big Also the staffs they are not much supportive or trying to help the principal he struggles sometimes They can still get some more facilities like mess or food stations near, | Placement Experience: They have already informed us regards the placements and details of the places if we reach the criteria also i have seened 4-5 percentages of the students get the placements as i told you he was running the collae with kindness and help","Reviewed on Jan 28, 2025",CollegeDunia,1
1,"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai",IITB-A NEW LIFE,4.3Helpful,Pros/Cons: classes are very big. the professors are excellent and everything you have learnt will be tested atleast once in 2-3 weeks. quality of the infrastructure is excellent and no other indian colleges have been this much beautiful. asia's largest techfest and cultural fest happen here which describes the brand of of the college. as per some reports we are hearing that placements are being reduced. girls to boys ratio is 1:4 which is a disappointment according to me. | Placement Experience: as far of my knowledge the plancements are the best than compared to any other college in india but the placents are decreasing as of the reports we got.average package is around 15-20 lakhs and highest is around 4 crore per annum.,"Reviewed on Jan 15, 2025",CollegeDunia,1
2,"IIT Delhi - Indian Institute of Technology [IITD], New Delhi",IIT Delhi Review without Biasness,4.8Helpful,"Pros/Cons: Great placement record with good package String alumini network across industries Top notch infrastructures, lab and hostel High academic pressure and competitive environment Hostel and mess maintenance is required at times. Flood normally occurs during rainy season | Placement Experience: From 7th sem start we qualify for campus placement. Nearly 800 offers made with nearly all big MNCs and many good startup and all best Indian companies. Highest package-1.80 Cr by Tower for quantative analyst role and avg package of 12Lakhs","Reviewed on Oct 9, 2025",CollegeDunia,1
2,"IIT Delhi - Indian Institute of Technology [IITD], New Delhi",The Dream College Life,4.0Helpful,"Pros/Cons: The campus is completely different from the whole city, it is more cleaner and is quiet peaceful with various different beautiful views at different points and is not too big so could easily walk through the campus. Has really great architecture of the buildings and is surrounded by really intelligent people including some over the top profs and some really great minds from the country. The night life is completely different and is one of the best part of staying in campus. some of the hostels are quiet old and need renovation. | Placement Experience: If you study passionately and have decent communication skills and some important competencies, I assure you that you will secure a position in a great company. Here at IIT Delhi, you earn what you work for; you can receive salary packages as high as 2 crores, but some offers start as low as 4 lakhs per annum.","Reviewed on May 26, 2025",CollegeDunia,1
2,"IIT Delhi - Indian Institute of Technology [IITD], New Delhi",Doomsday Judgement of IITD,4.0Helpful,"Pros/Cons: Peer group, faculty and people in general are very good and worth learning from Maintenance of campus and division of labor is very good Pro-student atmosphere is there with adequate help and support The courses are sequenced with bottleneck courses which if failed can disturb everything Mess food quality is good in absolute sense but hygiene issues still noticeable Certain faculty members are unruly and have to be dealt with care | Placement Experience: Students appear for placement exams in the beginning of their fourth B.Tech year. Many companies like MAANG, Optiver, Barclays, Deutsche Bank, Accenture, BCG visit the campus with number of offers ranging from single digit (say 2) to double digits (say 30).
Highest package I am aware among my friends: 90 LPA, average: 15 LPA. 90% students get placements.
I plan to do a corporate job after completing my degree.","Reviewed on May 9, 2025",CollegeDunia,1
2,"IIT Delhi - Indian Institute of Technology [IITD], New Delhi",Insights on IITD,4.6,"Pros/Cons: The college infrastructure and facilities. Laboratories for nearly all fields of physics The course load can be heavy some times. Curriculum followed is too old and need to be revised | Placement Experience: Btech sudent become eligible for placements after their sixth semester. Placement tests start in the seventh semester and interviews are conducted in winter break. Lot of companies come to our campus such as Google, Microsoft, Graviton, Da vinci, Adobe, Oracle, Goldman Sachs, etc.","Reviewed on May 9, 2025",CollegeDunia,1
2,"IIT Delhi - Indian Institute of Technology [IITD], New Delhi",Another Point of View for IIT Delhi students life .,5.0,"Pros/Cons: I liked their course curriculum and management. They are student friendly , some professors are very friendly. Many events are student driven only , that is important for management skills. The one and most disliked thing is that they don't even give 1 day gap in exams . Sometimes their attendance policy is very hectic. | Course Curriculum Overview: Hmm , the course structure designed by them is very accurate and they first teach that course and then make compulsory to attend lab of same course in coming semester, this ensures that whatever we have learnt , we can apply that in real life as well.","Reviewed on May 9, 2025",CollegeDunia,1
